Date,Open,High,Low,Close,Volume
4/21/2021,430,435,430,434.75,4600
4/22/2021,435,435,430,433,63600
4/23/2021,434,434,433.75,433.75,23000
4/26/2021,433.75,435,433.75,434.75,3800
4/27/2021,450,460,450,452,2500
4/28/2021,460,460,460,460,4600
4/29/2021,460,460,460,460,35300
4/30/2021,460,460,450.75,453.75,1500
5/3/2021,459.75,459.75,459.75,459.75,300
5/4/2021,459.75,460,455,457.75,8200
5/6/2021,459.75,462,459.75,460,17600
5/7/2021,465,470,465,467.5,200
5/10/2021,470,470,470,470,300
5/11/2021,470,479,469.75,471.25,2100
5/12/2021,471.25,471.25,471.25,471.25,100
5/13/2021,471.5,472,470,471,500
5/17/2021,472,472,471.75,472,400
5/18/2021,472,472,468,470,15900
5/19/2021,470,470,470,470,300
5/20/2021,469,469,469,469,1000
5/21/2021,470,470,470,470,4900
5/24/2021,472,472,472,472,100
5/25/2021,470,470,461,464.75,4700
5/26/2021,469,470,464,467.75,300
5/27/2021,465,465,465,465,100
5/28/2021,465,465,464,464,4100
5/31/2021,470,470,460.75,468,14500
6/2/2021,469.75,469.75,468,468,4800
6/4/2021,469.75,469.75,465,465.25,2600
6/7/2021,465,469,461,465,8300
6/8/2021,465,465,465,465,2800
6/9/2021,465,465,465,465,2200
6/10/2021,465,465,465,465,5300
6/11/2021,465,465,464,465,21000
6/14/2021,469,469,460,460.5,10900
6/15/2021,450.25,460,450.25,452.5,2500
6/16/2021,450.5,450.5,450.5,450.5,200
6/17/2021,452,452,450,450.25,14100
6/18/2021,463.5,463.5,450,450.5,2300
6/21/2021,450,450,440,448.5,2600
6/22/2021,450,450,430,437.5,13200
6/23/2021,438,438,429,430.25,11300
6/24/2021,432,432,432,432,1100
6/25/2021,432,433,432,432,21100
6/29/2021,436,436,435,435.25,5000
6/30/2021,450.5,450.5,450,450,18200
7/1/2021,450,450,450,450,5900
7/5/2021,450,450,448.5,449.5,1100
7/6/2021,450,450,439,448,2900
7/7/2021,436,449.5,436,440.5,400
7/8/2021,449.5,449.5,445,445.25,5100
7/9/2021,445,449,445,448.75,14500
7/12/2021,440,440,435,435.75,1100
7/13/2021,441.5,441.5,440.5,441.5,900
7/15/2021,445,445,441.5,445,58800
7/16/2021,436.5,445,436.5,438.25,500
7/19/2021,445,445,445,445,700
