Date,Open,High,Low,Close,Volume
4/21/2021,170,172,170,170,254300
4/22/2021,170.25,170.25,170,170,326500
4/23/2021,170,170.75,170,170,132400
4/26/2021,168,169,168,168.5,1900
4/27/2021,170,170,165,167.75,2900
4/28/2021,169,169,165,168.75,32000
4/29/2021,170,172,170,171,13100
4/30/2021,169,170,168.25,169.75,64400
5/3/2021,170,171.5,170,171,20900
5/4/2021,171,171,170,170,84000
5/5/2021,168.75,170,168.75,169.25,1400
5/6/2021,171,173,170.75,171.25,364000
5/7/2021,173,173,171.5,171.75,1700
5/10/2021,171.75,173,171.75,171.75,51800
5/11/2021,172,173,171.75,171.75,486500
5/12/2021,172,172,171.25,172,10200
5/13/2021,172,173,171.5,172.25,214600
5/17/2021,172,173,170,171.5,168400
5/18/2021,172,173.5,172,173.25,227200
5/19/2021,173,174,172.5,174,42300
5/20/2021,174,174,172.5,173.75,136300
5/21/2021,174,174,172.75,174,190700
5/24/2021,174.75,185,174.75,180,1361500
5/25/2021,179,182,179,181,204500
5/26/2021,181,181,180,180.5,9800
5/27/2021,180,186,180,185.25,2984100
5/28/2021,186,188,185,186.25,20000
5/31/2021,186.25,186.25,185,185.25,79900
6/2/2021,185.25,190,185,189.5,2031400
6/3/2021,186,190,186,190,313100
6/4/2021,191,191,186,190,105400
6/7/2021,190,191,187,190,1395100
6/8/2021,191,191,190,190,161700
6/9/2021,190,190,187,190,354300
6/10/2021,190,190.25,190,190,965300
6/11/2021,190.5,190.5,190,190,30600
6/14/2021,190,191,190,190,527900
6/15/2021,190,190.25,190,190.25,40900
6/16/2021,191,192,190,191,74200
6/17/2021,192,194,192,193.75,1131900
6/18/2021,191,193,177,189,108400
6/21/2021,191,191,185,190,168700
6/22/2021,189,189.75,185.25,189,598700
6/23/2021,185,185,180,185,52400
6/24/2021,180,180,179.75,180,107600
6/25/2021,185,185,180,181.5,191800
6/28/2021,181.5,185,180,181.5,437700
6/29/2021,185,185,180,180.5,75800
6/30/2021,180,183,180,180.75,66000
7/1/2021,180,180,180,180,6600
7/2/2021,180,185.25,179,181,179400
7/5/2021,184,185,184,184.5,3900
7/6/2021,185,185.5,180,184.75,11900
7/7/2021,180,185.5,180,184.75,8000
7/8/2021,184.75,189,184.75,187,394300
7/9/2021,185.5,189,181,187.5,2311600
7/12/2021,189,189,180,184.5,46000
7/13/2021,189,189,182.25,188.25,44400
7/14/2021,188.5,188.5,187.5,187.5,224200
7/15/2021,187.5,189,187.5,188.25,3100
7/16/2021,181.5,188,181.5,187,3400
7/19/2021,188,188,185,187.75,6100
