Date,Open,High,Low,Close,Volume
4/21/2021,42.1,42.35,41.6,42.3,4467400
4/22/2021,41.6,42,41.35,41.6,672200
4/23/2021,42,42,41.55,41.6,549200
4/26/2021,41.55,42,41.55,41.8,1104500
4/27/2021,40.05,41,39.5,39.7,1053400
4/28/2021,40.5,41,39.5,39.95,204900
4/29/2021,40.45,40.45,40,40.2,94300
4/30/2021,40.95,40.95,40,40.25,77200
5/3/2021,40.1,40.4,39.95,40.05,55400
5/4/2021,40,40.4,40,40.05,684400
5/5/2021,40.4,40.55,40,40.4,838100
5/6/2021,40.65,42,40.65,41.5,2180600
5/7/2021,41.5,42.2,41.5,41.95,3221300
5/10/2021,41.9,42.8,41.55,42.4,13934900
5/11/2021,42.2,42.5,41.95,42.45,2468500
5/12/2021,42,42.5,41.5,41.75,2055400
5/13/2021,41.75,42,41.5,41.95,3428500
5/17/2021,41.6,42,40.5,41,961400
5/18/2021,41,41.3,40,41.05,1439400
5/19/2021,41,41.2,40.1,40.25,324000
5/20/2021,40.6,40.9,40.25,40.55,439100
5/21/2021,40.9,41.5,40.6,41,243600
5/24/2021,40.65,42.4,40.65,41.85,406100
5/25/2021,42,42.45,42,42.25,2357000
5/26/2021,42.25,43.25,42.2,43,2872500
5/27/2021,43.15,43.15,41.95,42,8340800
5/28/2021,42.2,43,41.9,42.4,1774400
5/31/2021,42,42.5,41.9,42.3,165000
6/2/2021,43,43,40.65,42,1375700
6/3/2021,42.3,42.7,41.9,42,1233200
6/4/2021,42,42.95,41.8,42.25,665200
6/7/2021,42.25,43,42.1,42.25,332200
6/8/2021,43,43,42.25,42.5,866000
6/9/2021,43.5,43.5,42.6,42.95,473200
6/10/2021,42.7,43,42.7,42.85,438400
6/11/2021,42.75,43,42.3,42.6,263900
6/14/2021,42.6,42.85,42,42.4,230600
6/15/2021,42,42.6,42,42.4,510100
6/16/2021,42.5,42.75,42.4,42.5,394800
6/17/2021,42.6,42.8,42.5,42.55,153500
6/18/2021,42.6,42.8,42.5,42.55,359600
6/21/2021,42.95,43.3,42.4,43,2222800
6/22/2021,43.1,44,43,43.25,3252900
6/23/2021,43.4,44.25,43.35,43.35,1385100
6/24/2021,43.4,43.95,43.3,43.65,1956600
6/25/2021,43.6,44.25,43.55,43.85,1749300
6/28/2021,43.5,44.35,43.35,44,175700
6/29/2021,43.9,44.35,43.4,43.6,217400
6/30/2021,43.5,43.5,42,42.65,349900
7/1/2021,42.9,42.9,42,42.5,1257700
7/2/2021,42.15,42.95,42.15,42.5,1917400
7/5/2021,42.6,43,42.6,42.7,51000
7/6/2021,42.7,43.35,42.6,42.95,90400
7/7/2021,42.95,44.35,42.7,43.8,145700
7/8/2021,43.8,46.5,43.8,45.5,1649300
7/9/2021,46.05,47,45.1,45.5,1263400
7/12/2021,45.5,46,42.7,44.75,328900
7/13/2021,45,45,44,44.75,1518300
7/14/2021,44.3,44.85,44.3,44.6,199400
7/15/2021,44.7,45.05,44.5,44.95,378400
7/16/2021,44.95,45,44.7,44.85,52700
7/19/2021,44.75,45,44.6,44.75,137600
