Date,Open,High, Low,Close,Volume
4/21/2021,39.35,39.9,38.6,39.25,6286600
4/22/2021,39,39,37.8,37.95,1840300
4/23/2021,38,39.2,38,39.1,2922000
4/26/2021,39.05,39.25,38.6,39.1,1070200
4/27/2021,40,40,39.1,39.15,801400
4/28/2021,39.05,39.5,39,39.45,209700
4/29/2021,39.1,39.15,39,39,1242200
4/30/2021,39.5,39.5,39,39.15,63900
5/3/2021,39.5,39.5,39.05,39.3,485900
5/4/2021,39.5,40,39.25,39.55,237900
5/5/2021,39.5,40.45,39.5,39.85,155900
5/6/2021,40,40.6,40,40.3,2172700
5/7/2021,40.3,40.85,40,40.75,3490100
5/10/2021,40.7,41,40.7,40.85,11701400
5/11/2021,40.05,41.4,40.05,41.05,4871100
5/12/2021,41.25,41.5,40.5,40.65,72300
5/13/2021,40.8,41.85,40,40.95,3482900
5/17/2021,40.85,41,40.05,40.9,1215800
5/18/2021,40.9,41.5,40.2,40.95,1127200
5/19/2021,40.9,41.4,40.9,41.05,711500
5/20/2021,41.05,41.4,40.5,41.05,1218700
5/21/2021,40.65,42,40.5,41.5,338300
5/24/2021,41.55,44,41.5,42.45,2597100
5/25/2021,42,42.5,42,42.05,268000
5/26/2021,42.2,43.95,42.2,43.55,4250600
5/27/2021,43.55,43.95,43,43.5,5634200
5/28/2021,43.4,43.4,42.85,43,1668700
5/31/2021,43,43,42.05,42.2,613000
6/2/2021,42.5,42.95,42,42.7,2807000
6/3/2021,42.65,42.65,42,42.3,5989900
6/4/2021,42,43,42,42.85,3440400
6/7/2021,42.5,43.45,42.5,43,1278600
6/8/2021,43.5,44.25,43.5,43.95,3027700
6/9/2021,44.4,44.4,43.85,44,2660700
6/10/2021,44,44.35,44,44.15,2145500
6/11/2021,44.25,44.25,43.85,44.05,2649700
6/14/2021,44,44.25,43.5,43.9,1413700
6/15/2021,43.75,44.25,43.75,44.15,1340400
6/16/2021,43.7,44.45,43.5,44.1,1135800
6/17/2021,44.1,44.5,44.1,44.35,3651900
6/18/2021,44.45,45.2,44.4,44.75,2226300
6/21/2021,44.75,45.5,43.75,45.15,991700
6/22/2021,45.5,45.65,45.15,45.55,5975800
6/23/2021,45.7,45.7,45.4,45.55,448300
6/24/2021,45.55,45.95,45.55,45.7,726100
6/25/2021,45.55,47,45.55,46.6,3492600
6/28/2021,46.15,46.95,46.05,46.65,4158000
6/29/2021,46.7,46.75,44.5,46.3,1547300
6/30/2021,45.25,45.25,44,44.75,1321800
7/1/2021,44.95,45.3,44.55,44.85,104500
7/2/2021,45,47,44.6,46.7,958500
7/5/2021,46.8,46.9,46.15,46.5,842000
7/6/2021,46.5,47,46.5,46.8,511700
7/7/2021,46.8,48,46.55,47.55,2101700
7/8/2021,47.6,49.45,47.6,49,1891000
7/9/2021,49,49.4,48.5,49,3436300
7/12/2021,49,49.4,47.7,48.65,185800
7/13/2021,48.5,48.5,47.7,48,285200
7/14/2021,48,48.45,48,48.1,2559200
7/15/2021,47.7,48.85,47.7,48.55,102700
7/16/2021,48.5,48.6,48.5,48.55,1411200
7/19/2021,48.55,48.6,48.25,48.55,1476900
